# NKPT   121 NBND    26 NSPIN     1
# NPANEL     6
#      1   (0,0,0)/2
#     24   (1,1,0)/2
#     41   (0,1,0)/2
#     61   (0,1,1)/2
#     78   (1,1,1)/2
#    101   (0,0,1)/2
#    121   (0,0,0)/2
@ WITH G0
@ G0 ON
@ TITLE "BAND STRUCTURE"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     7
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/2"
@ XAXIS TICK     1,     0.42247
@ XAXIS TICKLABEL    1,"(1,1,0)/2"
@ XAXIS TICK     2,     0.72121
@ XAXIS TICKLABEL    2,"(0,1,0)/2"
@ XAXIS TICK     3,     1.07613
@ XAXIS TICKLABEL    3,"(0,1,1)/2"
@ XAXIS TICK     4,     1.37487
@ XAXIS TICKLABEL    4,"(1,1,1)/2"
@ XAXIS TICK     5,     1.79734
@ XAXIS TICKLABEL    5,"(0,0,1)/2"
@ XAXIS TICK     6,     2.15227
@ XAXIS TICKLABEL    6,"(0,0,0)/2"
@ WORLD      0.00000,        -1.1,     2.15227,         0.7
@ VIEW      0.15000,     0.15000,     1.14418,     0.85000
  0.54628E+00 -0.10078E+01 -0.10078E+01 -0.83901E+00 -0.83901E+00 -0.78477E+00 -0.78477E+00 -0.45148E+00 -0.45148E+00 -0.36419E+00 -0.36419E+00 -0.33592E+00 -0.33592E+00 -0.26290E+00 -0.26290E+00 -0.20717E+00 -0.20717E+00 -0.17914E+00 -0.17914E+00 -0.80166E-01 -0.80166E-01 -0.30445E-01 -0.30445E-01 -0.11826E-01 -0.11826E-01  0.62627E+00  0.62627E+00
  0.56385E+00 -0.10078E+01 -0.10078E+01 -0.83904E+00 -0.83904E+00 -0.78471E+00 -0.78471E+00 -0.45135E+00 -0.45135E+00 -0.36536E+00 -0.36536E+00 -0.33573E+00 -0.33573E+00 -0.26081E+00 -0.26081E+00 -0.20811E+00 -0.20811E+00 -0.17899E+00 -0.17899E+00 -0.80484E-01 -0.80484E-01 -0.30678E-01 -0.30678E-01 -0.11899E-01 -0.11899E-01  0.62613E+00  0.62613E+00
  0.58142E+00 -0.10078E+01 -0.10078E+01 -0.83908E+00 -0.83908E+00 -0.78464E+00 -0.78464E+00 -0.45121E+00 -0.45121E+00 -0.36651E+00 -0.36651E+00 -0.33556E+00 -0.33556E+00 -0.25862E+00 -0.25862E+00 -0.20913E+00 -0.20913E+00 -0.17884E+00 -0.17884E+00 -0.80809E-01 -0.80809E-01 -0.30913E-01 -0.30913E-01 -0.11974E-01 -0.11974E-01  0.62599E+00  0.62599E+00
  0.59900E+00 -0.10078E+01 -0.10078E+01 -0.83911E+00 -0.83911E+00 -0.78458E+00 -0.78458E+00 -0.45108E+00 -0.45108E+00 -0.36762E+00 -0.36762E+00 -0.33539E+00 -0.33539E+00 -0.25641E+00 -0.25641E+00 -0.21022E+00 -0.21022E+00 -0.17869E+00 -0.17869E+00 -0.81129E-01 -0.81129E-01 -0.31143E-01 -0.31143E-01 -0.12049E-01 -0.12049E-01  0.62586E+00  0.62586E+00
  0.61657E+00 -0.10078E+01 -0.10078E+01 -0.83914E+00 -0.83914E+00 -0.78452E+00 -0.78452E+00 -0.45095E+00 -0.45095E+00 -0.36864E+00 -0.36864E+00 -0.33525E+00 -0.33525E+00 -0.25423E+00 -0.25423E+00 -0.21135E+00 -0.21135E+00 -0.17856E+00 -0.17856E+00 -0.81433E-01 -0.81433E-01 -0.31359E-01 -0.31359E-01 -0.12121E-01 -0.12121E-01  0.62575E+00  0.62575E+00
  0.63414E+00 -0.10078E+01 -0.10078E+01 -0.83917E+00 -0.83917E+00 -0.78446E+00 -0.78446E+00 -0.45083E+00 -0.45083E+00 -0.36955E+00 -0.36955E+00 -0.33512E+00 -0.33512E+00 -0.25216E+00 -0.25216E+00 -0.21248E+00 -0.21248E+00 -0.17844E+00 -0.17844E+00 -0.81711E-01 -0.81711E-01 -0.31555E-01 -0.31555E-01 -0.12188E-01 -0.12188E-01  0.62565E+00  0.62565E+00
  0.65171E+00 -0.10078E+01 -0.10078E+01 -0.83919E+00 -0.83919E+00 -0.78441E+00 -0.78441E+00 -0.45072E+00 -0.45072E+00 -0.37033E+00 -0.37033E+00 -0.33501E+00 -0.33501E+00 -0.25027E+00 -0.25027E+00 -0.21356E+00 -0.21356E+00 -0.17833E+00 -0.17833E+00 -0.81953E-01 -0.81953E-01 -0.31725E-01 -0.31725E-01 -0.12246E-01 -0.12246E-01  0.62557E+00  0.62557E+00
  0.66929E+00 -0.10078E+01 -0.10078E+01 -0.83922E+00 -0.83922E+00 -0.78437E+00 -0.78437E+00 -0.45063E+00 -0.45063E+00 -0.37096E+00 -0.37096E+00 -0.33493E+00 -0.33493E+00 -0.24865E+00 -0.24865E+00 -0.21452E+00 -0.21452E+00 -0.17825E+00 -0.17825E+00 -0.82151E-01 -0.82151E-01 -0.31863E-01 -0.31863E-01 -0.12294E-01 -0.12294E-01  0.62551E+00  0.62551E+00
  0.68686E+00 -0.10078E+01 -0.10078E+01 -0.83923E+00 -0.83923E+00 -0.78434E+00 -0.78434E+00 -0.45057E+00 -0.45057E+00 -0.37141E+00 -0.37141E+00 -0.33487E+00 -0.33487E+00 -0.24740E+00 -0.24740E+00 -0.21529E+00 -0.21529E+00 -0.17819E+00 -0.17819E+00 -0.82297E-01 -0.82297E-01 -0.31964E-01 -0.31964E-01 -0.12330E-01 -0.12330E-01  0.62546E+00  0.62546E+00
  0.70443E+00 -0.10078E+01 -0.10078E+01 -0.83924E+00 -0.83924E+00 -0.78432E+00 -0.78432E+00 -0.45053E+00 -0.45053E+00 -0.37169E+00 -0.37169E+00 -0.33483E+00 -0.33483E+00 -0.24660E+00 -0.24660E+00 -0.21579E+00 -0.21579E+00 -0.17815E+00 -0.17815E+00 -0.82387E-01 -0.82387E-01 -0.32026E-01 -0.32026E-01 -0.12352E-01 -0.12352E-01  0.62543E+00  0.62543E+00
  0.72201E+00 -0.10078E+01 -0.10078E+01 -0.83924E+00 -0.83924E+00 -0.78432E+00 -0.78432E+00 -0.45051E+00 -0.45051E+00 -0.37179E+00 -0.37179E+00 -0.33482E+00 -0.33482E+00 -0.24633E+00 -0.24633E+00 -0.21597E+00 -0.21597E+00 -0.17814E+00 -0.17814E+00 -0.82417E-01 -0.82417E-01 -0.32047E-01 -0.32047E-01 -0.12360E-01 -0.12360E-01  0.62543E+00  0.62543E+00
  0.73958E+00 -0.10078E+01 -0.10078E+01 -0.83932E+00 -0.83932E+00 -0.78430E+00 -0.78430E+00 -0.45038E+00 -0.45038E+00 -0.37163E+00 -0.37163E+00 -0.33495E+00 -0.33495E+00 -0.24634E+00 -0.24634E+00 -0.21600E+00 -0.21600E+00 -0.17837E+00 -0.17837E+00 -0.82217E-01 -0.82217E-01 -0.32129E-01 -0.32129E-01 -0.12362E-01 -0.12362E-01  0.62551E+00  0.62551E+00
  0.75732E+00 -0.10077E+01 -0.10077E+01 -0.83957E+00 -0.83957E+00 -0.78427E+00 -0.78427E+00 -0.45000E+00 -0.45000E+00 -0.37115E+00 -0.37115E+00 -0.33534E+00 -0.33534E+00 -0.24638E+00 -0.24638E+00 -0.21607E+00 -0.21607E+00 -0.17906E+00 -0.17906E+00 -0.81622E-01 -0.81622E-01 -0.32372E-01 -0.32372E-01 -0.12368E-01 -0.12368E-01  0.62576E+00  0.62576E+00
  0.77507E+00 -0.10076E+01 -0.10076E+01 -0.83997E+00 -0.83997E+00 -0.78420E+00 -0.78420E+00 -0.44937E+00 -0.44937E+00 -0.37036E+00 -0.37036E+00 -0.33597E+00 -0.33597E+00 -0.24646E+00 -0.24646E+00 -0.21621E+00 -0.21621E+00 -0.18018E+00 -0.18018E+00 -0.80648E-01 -0.80648E-01 -0.32770E-01 -0.32770E-01 -0.12379E-01 -0.12379E-01  0.62617E+00  0.62617E+00
  0.79282E+00 -0.10074E+01 -0.10074E+01 -0.84051E+00 -0.84051E+00 -0.78412E+00 -0.78412E+00 -0.44852E+00 -0.44852E+00 -0.36924E+00 -0.36924E+00 -0.33682E+00 -0.33682E+00 -0.24660E+00 -0.24660E+00 -0.21640E+00 -0.21640E+00 -0.18172E+00 -0.18172E+00 -0.79322E-01 -0.79322E-01 -0.33312E-01 -0.33312E-01 -0.12392E-01 -0.12392E-01  0.62673E+00  0.62673E+00
